strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor
S001,Long ATM call,directional_long,LII,momentum,3941,587,0.17923664122137403,0.5570698466780238,10.58335938159878,34660.50197473601,2.112885730564371
S002,Long OTM call 5pct,directional_long,LII,momentum,3941,480,0.1610738255033557,0.5479166666666667,7.850464198085857,23394.383310295856,2.145063307160868
S003,Long deep OTM call,directional_long,LII,momentum,3941,173,0.10446859903381643,0.4913294797687861,3.5021390838918656,5799.542322924929,2.7290353994554657
S004,Long ITM call replacement,directional_long,LII,momentum,3941,693,0.1897590361445783,0.5858585858585859,12.161037977408489,44412.11069349581,2.0194949998192566
S005,Long ATM put,directional_long,LII,breakdown,2813,532,0.23813786929274844,0.5451127819548872,15.912107862467943,35547.64896475339,2.2158455969239843
S006,Long OTM put hedge,directional_long,LII,breakdown,2813,420,0.20937188434695914,0.5571428571428572,12.087607404186397,24247.740452797905,2.294974134947763
S007,Long put crash hedge,directional_long,LII,breakdown,2813,532,0.23813786929274844,0.5451127819548872,15.912107862467943,35547.64896475339,2.2158455969239843
S008,Long call MA pullback,directional_long,LII,pullback_ma,1192,201,0.19861660079051383,0.43781094527363185,2.079746782346163,2104.7037437343142,1.1113917034868996
S009,Long call vol spike uptrend,directional_long,LII,volume_spike,292,58,0.2871287128712871,0.4482758620689655,3.609343180037598,729.0873223675928,1.1034548634931094
S010,Long put support break,directional_long,LII,breakdown,2813,532,0.23813786929274844,0.5451127819548872,15.912107862467943,35547.64896475339,2.2158455969239843
S011,Long call RSI oversold,directional_long,LII,rsi_oversold,576,114,0.2620689655172414,0.2894736842105263,-14.40381275790859,-6265.658549690235,0.4627066057498273
S012,Long put RSI overbought,directional_long,LII,rsi_overbought,1105,226,0.24379719525350593,0.2831858407079646,-12.116795604813701,-11232.269525662301,0.41134603108747314
S013,Long call MACD bull cross,directional_long,LII,macd_bull,3941,587,0.17923664122137403,0.5570698466780238,10.58335938159878,34660.50197473601,2.112885730564371
S014,Long put MACD bear cross,directional_long,LII,macd_bear,2813,532,0.23813786929274844,0.5451127819548872,15.912107862467943,35547.64896475339,2.2158455969239843
S015,Long call earnings drift,directional_long,LII,earnings_positive,831,0,0.0,0.0,0.0,0.0,inf
S016,Long put guidance gap,directional_long,LII,earnings_negative,66,0,0.0,0.0,0.0,0.0,inf
S017,Long call sector leader,directional_long,LII,sector_leader,394,81,0.28125,0.8765432098765432,64.99239114235164,18717.80864899727,131.69691730556494
S018,Long put sector laggard,directional_long,LII,sector_laggard,401,90,0.2710843373493976,0.9,83.47338484526672,27713.16376862855,337.5334236706434
