strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor
S001,Long ATM call,directional_long,EME,momentum,4601,385,0.12148942884190596,0.5376623376623376,8.271493548174682,26212.36305416557,2.5882561980623846
S002,Long OTM call 5pct,directional_long,EME,momentum,4601,282,0.09822361546499478,0.5141843971631206,6.483389461284238,18613.811143347044,2.7174779835301828
S003,Long deep OTM call,directional_long,EME,momentum,4601,89,0.10748792270531402,0.5056179775280899,7.659634395481318,6342.17727945853,4.192335860129498
S004,Long ITM call replacement,directional_long,EME,momentum,4601,470,0.1272678039534254,0.5468085106382978,8.910269175445844,32905.6240649215,2.555573142596373
S005,Long ATM put,directional_long,EME,breakdown,3302,351,0.16486613433536873,0.5811965811965812,14.562662702782566,31003.908894224078,3.005459369699825
S006,Long OTM put hedge,directional_long,EME,breakdown,3302,259,0.14477361654555618,0.5521235521235521,12.245588826028872,21907.35840976565,3.2469609991699344
S007,Long put crash hedge,directional_long,EME,breakdown,3302,351,0.16486613433536873,0.5811965811965812,14.562662702782566,31003.908894224078,3.005459369699825
S008,Long call MA pullback,directional_long,EME,pullback_ma,1473,157,0.15198451113262343,0.4713375796178344,1.382251082462774,1427.8653681840449,1.188772328285568
S009,Long call vol spike uptrend,directional_long,EME,volume_spike,463,47,0.25133689839572193,0.46808510638297873,-16.866370619576976,-3154.0113058608945,0.4670394596886312
S010,Long put support break,directional_long,EME,breakdown,3302,351,0.16486613433536873,0.5811965811965812,14.562662702782566,31003.908894224078,3.005459369699825
S011,Long call RSI oversold,directional_long,EME,rsi_oversold,725,85,0.20047169811320756,0.35294117647058826,-6.479427114311304,-2747.2770964679935,0.6574492688134123
S012,Long put RSI overbought,directional_long,EME,rsi_overbought,1358,229,0.2513721185510428,0.314410480349345,-12.10227796211241,-11025.175223484404,0.5408702113873423
S013,Long call MACD bull cross,directional_long,EME,macd_bull,4601,385,0.12148942884190596,0.5376623376623376,8.271493548174682,26212.36305416557,2.5882561980623846
S014,Long put MACD bear cross,directional_long,EME,macd_bear,3302,351,0.16486613433536873,0.5811965811965812,14.562662702782566,31003.908894224078,3.005459369699825
S015,Long call earnings drift,directional_long,EME,earnings_positive,1040,0,0.0,0.0,0.0,0.0,inf
S016,Long put guidance gap,directional_long,EME,earnings_negative,123,0,0.0,0.0,0.0,0.0,inf
S017,Long call sector leader,directional_long,EME,sector_leader,545,63,0.21140939597315436,0.873015873015873,42.84571568783399,12768.023274974526,175.49725216284486
S018,Long put sector laggard,directional_long,EME,sector_laggard,420,54,0.2084942084942085,0.8518518518518519,60.67555805018807,15714.969534998712,329.9122461494673
S019,Long call 52wk high BO,directional_long,EME,high_52w_break,310,13,0.05963302752293578,1.0,9.514993316548015,2074.268543007467,inf
S020,Long put 52wk low BD,directional_long,EME,low_52w_break,23,3,0.16666666666666666,1.0,37.58056868246396,676.4502362843514,inf
S021,Cash secured short put,directional_short,EME,support_retest,4601,256,0.09353306540007307,0.7265625,3.794841202281284,10386.480370643872,2.1254464836775124
S022,Covered short call,directional_short,EME,resistance_retest,3302,289,0.14974093264248706,0.6955017301038062,4.64327474864453,8961.520264883944,1.7312349639957212
S023,Short OTM put high IV,directional_short,EME,iv_rank_high,1015,81,0.16981132075471697,0.5308641975308642,-33.54844198703303,-16002.60682781476,0.17668697998130825
S024,Short OTM call covered,directional_short,EME,iv_rank_high,1015,114,0.22396856581532418,0.42105263157894735,-15.504206870332961,-7891.641296999475,0.432472880687236
S028,Short put IV crush post event,directional_short,EME,post_event_iv,302,95,0.9693877551020408,0.5263157894736842,-87.67247896758072,-8591.902938822912,0.37562736023413407
S029,Short call failed BO,directional_short,EME,failed_breakout,115,56,0.9824561403508771,0.9642857142857143,95.61804813779324,5450.228743854214,1852.7537694919306
S030,Short put failed BD,directional_short,EME,failed_breakdown,167,48,1.0,0.9791666666666666,106.92210807959857,5132.261187820732,3645.1266976969005
S031,Short premium IV>80,directional_short,EME,iv_rank_high,1015,81,0.16981132075471697,0.5308641975308642,-33.54844198703303,-16002.60682781476,0.17668697998130825
S032,Short premium term inverted,directional_short,EME,term_inverted,1550,123,0.1511056511056511,0.5040650406504065,-24.505282831692618,-19947.30022499779,0.19560769962777094
S033,Short put uptrend,directional_short,EME,uptrend,4601,256,0.09353306540007307,0.7265625,3.794841202281284,10386.480370643872,2.1254464836775124
S034,Short call downtrend,directional_short,EME,downtrend,3302,289,0.14974093264248706,0.6955017301038062,4.64327474864453,8961.520264883944,1.7312349639957212
S035,Short weekly put theta,directional_short,EME,uptrend,4601,256,0.09353306540007307,0.7265625,3.794841202281284,10386.480370643872,2.1254464836775124
S036,Short monthly call vs stock,directional_short,EME,neutral,4434,195,0.05205552589428724,0.49743589743589745,-2.3753449463635876,-8898.042169078002,0.642265080046777
S037,Short put support,directional_short,EME,support_retest,4601,256,0.09353306540007307,0.7265625,3.794841202281284,10386.480370643872,2.1254464836775124
S038,Short call resistance,directional_short,EME,resistance_retest,3302,289,0.14974093264248706,0.6955017301038062,4.64327474864453,8961.520264883944,1.7312349639957212
S130,Short vol IV rank>80,volatility_greeks,EME,iv_rank_high,1015,81,0.16981132075471697,0.5308641975308642,-33.54844198703303,-16002.60682781476,0.17668697998130825
S131,IV pct mean rev buy calls,volatility_greeks,EME,iv_rank_low,3208,274,0.143530644316396,0.4854014598540146,3.660137945350236,6987.203337673599,1.5131792160812818
S136,Theta harvest short opts,volatility_greeks,EME,iv_rank_high,1015,81,0.16981132075471697,0.5308641975308642,-33.54844198703303,-16002.60682781476,0.17668697998130825
S137,Charm decay into expiry,volatility_greeks,EME,neutral,4434,37,0.09973045822102426,0.8918918918918919,-6.391939717007459,-2371.409635009767,0.45582213154536166
S144,IV>RV short vol,volatility_greeks,EME,iv_vs_hv_high,1015,81,0.16981132075471697,0.5308641975308642,-33.54844198703303,-16002.60682781476,0.17668697998130825
S145,VIX call hedge,volatility_greeks,EME,crash_hedge,123,40,0.9523809523809523,0.475,59.333896039655095,2492.023633665515,2.1907969647545915
S147,Beta delta hedge SPY,volatility_greeks,EME,neutral,4434,173,0.059327846364883405,0.44508670520231214,-0.9203420715171948,-2683.7174805441446,0.851903597454181
S148,Vol surface smile trade,volatility_greeks,EME,skew_steep,583,103,0.42738589211618255,0.4368932038834951,24.99213986603319,6023.105707713999,2.2032968810540057
S158,CPI jobs ORB options,event_seasonality,EME,macro_orb,970,128,0.44912280701754387,0.4375,52.39759894012985,14933.315697937007,2.775706534743093
S163,A1 GapDown ATM call EOD,equity_signal,EME,gap_down,302,151,0.949685534591195,0.4768211920529801,50.00743330746495,7951.181895886928,1.9940404808379735
S165,GapDown long call 3 DTE,equity_signal,EME,gap_down,302,122,0.9838709677419355,0.4180327868852459,72.86786975162138,9035.615849201053,2.3842343321128925
S166,GapDown strong call,equity_signal,EME,gap_down_strong,123,60,1.0,0.5833333333333334,58.84650318172176,3530.790190903306,2.078838156908647
S167,GapDown weak skip/half,equity_signal,EME,gap_down_weak,528,221,0.6616766467065869,0.43891402714932126,14.716523976899168,4915.319008284323,1.3945313495574456
S168,GapUp long put EOD,equity_signal,EME,gap_up,281,142,0.9102564102564102,0.3732394366197183,37.09531948379668,5786.869839472285,1.5328682230391617
S169,VolumeSpike long call EOD,equity_signal,EME,volume_spike,463,47,0.25133689839572193,0.46808510638297873,-16.866370619576976,-3154.0113058608945,0.4670394596886312
S170,Pullback50 long call 3 DTE,equity_signal,EME,pullback50,3192,315,0.15021459227467812,0.7492063492063492,23.787669662367723,49882.74328198511,30.584136213756004
S172,52wkLow long call 7 DTE,equity_signal,EME,low_52w,73,17,0.3148148148148148,0.17647058823529413,-11.42712150825949,-617.0645614460125,0.15579592939418652
S173,MomReversal long call,equity_signal,EME,mom_reversal,278,72,1.0,0.7777777777777778,313.3904958046807,22564.115697937006,29.9659309127975
S174,RubberBand long call EOD,equity_signal,EME,rubber_band,254,113,0.889763779527559,0.8230088495575221,160.1926467923978,20344.46614263452,77.16971654314563
S175,RSIRecovery long call 3 DTE,equity_signal,EME,rsi_recovery,450,180,0.656934306569343,0.37222222222222223,13.849803706087918,3794.8462154680897,1.3916890890453457
S176,Seasonal calendar match DTE,equity_signal,EME,seasonal,7921,820,0.1542513167795335,0.4475609756097561,2.585226592180318,13743.064564030561,1.2497799231890794
S177,Regime bull calls only,equity_signal,EME,regime_bull,4601,385,0.12148942884190596,0.5376623376623376,8.271493548174682,26212.36305416557,2.5882561980623846
S178,Regime bear puts only,equity_signal,EME,regime_bear,3302,351,0.16486613433536873,0.5811965811965812,14.562662702782566,31003.908894224078,3.005459369699825
S179,Regime corr reduced size,equity_signal,EME,regime_corr,238,60,0.46875,0.5833333333333334,27.584298366432073,3530.790190903306,2.078838156908647
S180,Signal IV rank filter,equity_signal,EME,gap_down,302,151,0.949685534591195,0.4768211920529801,50.00743330746495,7951.181895886928,1.9940404808379735
S181,Signal low spread filter,equity_signal,EME,gap_down,302,151,0.949685534591195,0.4768211920529801,50.00743330746495,7951.181895886928,1.9940404808379735
S182,Signal OI filter,equity_signal,EME,gap_down,302,151,0.949685534591195,0.4768211920529801,50.00743330746495,7951.181895886928,1.9940404808379735
S183,GapDown VolumeSpike confirm,equity_signal,EME,gap_down_vol,52,21,1.0,0.47619047619047616,-138.96948422747923,-2918.359168777064,0.2904927941960606
S184,Fade low vol gap long put,equity_signal,EME,gap_up_low_vol,125,49,0.875,0.32653061224489793,8.997470509198996,503.8583485151441,1.2420599755781663
S185,ORB breakout call 15m,intraday,EME,orb_breakout,2310,284,0.18358112475759533,1.0,42.996410860623946,66515.44760138525,inf
S186,ORB breakdown put 15m,intraday,EME,orb_breakdown,2067,292,0.20901932712956334,1.0,57.72341844178241,80639.61556317002,inf
S187,First hour gap fade call,intraday,EME,gap_down,302,151,0.949685534591195,0.4768211920529801,50.00743330746495,7951.181895886928,1.9940404808379735
