strategy_id,quality,n,win_pct,med_pct,avg_pct,pnl_usd,verdict
S398,CLEAN,16,50.0,3.8,46.9,359.0,KEEP
S401,CLEAN,27,51.9,23.7,42.0,300.0,KEEP
S174,CLEAN,54,68.5,30.1,5.5,324.81,KEEP
S218,CLEAN,18,55.6,48.9,67.8,339.0,KEEP
S210,CLEAN,18,61.1,50.9,23.1,19.0,KEEP
S173,CLEAN,105,61.9,51.6,43.1,2561.64,KEEP
S406,CLEAN,16,56.2,58.3,123.1,521.0,KEEP
S350,CLEAN,12,58.3,64.9,30.4,85.0,KEEP
S397,CLEAN,13,100.0,71.8,85.7,638.0,KEEP
S404,CLEAN,12,100.0,80.1,79.4,584.0,KEEP
S212,CLEAN,18,5.6,-64.7,-63.5,-584.0,KILL
S360,CLEAN,17,11.8,-60.8,-49.2,-371.0,KILL
ORPHAN,CLEAN,101,23.8,-60.0,15.9,4188.0,KILL
S203,CLEAN,11,0.0,-58.2,-60.9,-260.0,KILL
S405,CLEAN,24,33.3,-57.4,-4.1,-38.0,KILL
S407,CLEAN,10,40.0,-57.0,-5.4,-50.0,KILL
S207,CLEAN,13,15.4,-54.3,-40.5,-341.0,KILL
S217,CLEAN,17,35.3,-52.9,84.9,136.0,KILL
S351,CLEAN,14,7.1,-52.5,-35.2,-110.0,KILL
S355,CLEAN,24,33.3,-51.5,15.6,76.0,KILL
S354,CLEAN,16,37.5,-51.2,12.2,46.0,KILL
S364,CLEAN,14,42.9,-50.7,-14.7,-188.0,KILL
S403,CLEAN,18,38.9,-49.8,-13.7,-85.0,KILL
S408,CLEAN,16,31.2,-45.6,32.3,45.0,KILL
S211,CLEAN,11,36.4,-45.5,-12.3,-70.0,KILL
S165,CLEAN,61,37.7,-24.2,20.4,507.22,KILL
S209,CLEAN,2,0.0,-82.8,-82.8,-92.0,WATCH
S202,CLEAN,9,0.0,-63.9,-60.1,-170.0,WATCH
S399,CLEAN,8,25.0,-60.4,-15.8,-58.0,WATCH
S410,CLEAN,4,25.0,-58.5,-23.4,-70.0,WATCH
S366,CLEAN,8,0.0,-55.2,-54.5,-268.0,WATCH
S164,CLEAN,5,0.0,-53.6,-64.0,-51.0,WATCH
S216,CLEAN,7,42.9,-51.7,-5.9,-30.0,WATCH
S365,CLEAN,7,0.0,-51.6,-56.9,-230.0,WATCH
S353,CLEAN,3,33.3,-50.8,0.1,-10.0,WATCH
S356,CLEAN,7,14.3,-50.0,-37.8,-158.0,WATCH
S359,CLEAN,9,33.3,-46.7,-12.9,-135.0,WATCH
S367,CLEAN,2,0.0,-38.2,-38.2,-55.0,WATCH
S400,CLEAN,4,25.0,-36.1,-17.5,15.0,WATCH
S411,CLEAN,8,50.0,-17.8,-6.4,-52.0,WATCH
S352,CLEAN,8,50.0,-16.3,-14.3,-95.0,WATCH
S412,CLEAN,10,50.0,-7.1,13.9,-43.0,WATCH
S363,CLEAN,10,50.0,-0.5,-1.5,-88.0,WATCH
S358,CLEAN,4,50.0,0.8,1.3,-21.0,WATCH
S357,CLEAN,5,60.0,47.1,5.1,11.0,WATCH
S361,CLEAN,6,66.7,50.4,28.7,57.0,WATCH
S362,CLEAN,8,62.5,54.4,163.0,370.0,WATCH
UNKNOWN,CLEAN,4,100.0,55.7,61.5,747.86,WATCH
